time,ElementInt_c,_dt,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
0,0,0,36,0,0,0,0,0,0,0,0
0.1,163840.04062512,0.1,36,1,16384,1.1046229498102e-09,1.1566537075991e-10,5.6602218999987e-10,-2.000000988138,2.3133074151983e-10,-2.0000009892152
0.2,327680.04057004,0.1,36,1,16384,-4.3706598594646e-09,-1.6625625212014e-09,5.2881962026373e-09,-8.000001989047,-3.3251250424028e-09,-8.0000019697292
0.35,573440.04052671,0.15,36,1,16384,-2.0366135145097e-09,-5.9809659118493e-09,2.2116601459702e-08,-24.500003447297,-1.1961931823699e-08,-24.500003398991
0.575,942080.04050352,0.225,36,1,16384,0.0010754094170932,-1.9141662049376e-05,1.9388628203485e-09,-66.121779456212,-3.8283324098752e-05,-66.123930271169
0.6875,1126400.0404899,0.1125,36,1,16384,0.00038976557832555,-1.7741699147615e-06,-1.7117248272963e-09,-94.530087501544,-3.5483398295229e-06,-94.530867036124
0.8,1310720.0410264,0.1125,36,1,16384,0.0021640742618493,-1.0737139021212e-05,2.6854510016067e-09,-127.99351578799,-2.1474278042423e-05,-127.99784393115
0.96875,1587200.0395373,0.16875,36,1,16384,0.0017926652871481,-5.8442355249742e-07,-3.3196980650003e-08,-187.68994388892,-1.1688471049948e-06,-187.69352928589
1.221875,2001920.0356208,0.253125,36,1,16384,-7.5109839454916e-08,5.594280083723e-08,-3.3882845670085e-08,-298.59571401111,1.1188560167446e-07,-298.59571392865
1.6015625,2624000.0347618,0.3796875,36,1,16384,0.020318941897006,-0.00016909682527394,4.6514116993843e-09,-512.93954504419,-0.00033819365054788,-512.98018291868
1.98125,3246080.0328525,0.3796875,36,1,16384,0.023413751789678,-0.00057175471548269,1.6171203959248e-10,-785.0000871367,-0.0011435094309654,-785.04691463995
2.3609375,3868160.0257849,0.3796875,36,1,16384,0.032588016016154,-0.00079792837594204,1.5897818044647e-10,-1114.7074265972,-0.0015958567518841,-1114.7726026289
2.740625,4490240.0245644,0.3796875,36,1,16384,0.043621186686054,-0.0010780265135817,7.9510337550048e-11,-1502.0742310029,-0.0021560530271634,-1502.1614733761
3.1203125,5112320.0242935,0.3796875,36,1,16384,0.055981949940789,-0.0014811619569741,1.3865485452499e-10,-1947.1020921902,-0.0029623239139482,-1947.2140560898
3.5,5734400.0241761,0.3796875,36,1,16384,0.067063530480082,-0.0025539733380493,3.9703375136202e-12,-2449.7988300689,-0.0051079466760987,-2449.9329571299
3.8796875,6356480.0241481,0.3796875,36,1,16384,0.26187356113789,-0.0099872410054478,1.2000305610327e-10,-3009.6094217226,-0.019974482010896,-3010.1331688447
4.259375,6978560.0244747,0.3796875,36,1,16384,0.031638808477692,-0.00016054203331449,-3.8937358545765e-11,-3628.360187153,-0.00032108406662898,-3628.42346477
4.6390625,7600640.0245183,0.3796875,36,1,16384,9.0743287585677e-11,3.7510099944204e-10,7.7376902628268e-11,-4304.1802035524,7.5020199888408e-10,-4304.1802035524
5.01875,8222720.0245513,0.3796875,36,1,16384,0.34238740193486,-0.002168480297741,1.1101421136528e-09,-5036.5431803775,-0.0043369605954819,-5037.2279551791
5.3984375,8844800.0290628,0.3796875,36,1,16384,0.67599408532692,-0.018936591560774,2.3708226354335e-11,-5826.5975443317,-0.037873183121547,-5827.9495325023
5.778125,9466880.0290726,0.3796875,36,1,16384,0.77488650157362,-0.021662828463345,-3.7501377003757e-11,-6675.021084635,-0.043325656926691,-6676.5708576383
6.1578125,10088960.029075,0.3796875,36,1,16384,0.87783280286345,-0.024399755545627,2.6745300418796e-11,-7581.0975023359,-0.048799511091254,-7582.8531679416
6.5375,10711040.029168,0.3796875,36,1,16384,0.99072084677952,-0.027727382822007,8.3321571864303e-11,-8544.8091340162,-0.055454765644014,-8546.7905757096
6.9171875,11333120.028547,0.3796875,36,1,16384,1.1098815172296,-0.031110658286072,-3.6817521253951e-11,-9566.1669856926,-0.062221316572143,-9568.3867487271
7.296875,11955200.028079,0.3796875,36,1,16384,1.2353649115746,-0.034645921552841,-7.5816297684383e-12,-10645.170908416,-0.069291843105682,-10647.64163824
7.6765625,12577280.028124,0.3796875,36,1,16384,1.3672514479326,-0.038344837636815,-2.7434665650361e-11,-11781.820661651,-0.07668967527363,-11784.555164547
8.05625,13199360.027996,0.3796875,36,1,16384,1.505826811447,-0.042231538543286,9.86151958704e-11,-12976.115387134,-0.084463077086573,-12979.127040757
8.4359375,13821440.027868,0.3796875,36,1,16384,1.6510919112852,-0.046306099059475,2.4119525821042e-12,-14228.055082446,-0.09261219811895,-14231.357266269
8.815625,14443520.028115,0.3796875,36,1,16384,1.8030466939044,-0.050568645257118,1.6018127102502e-10,-15537.639748557,-0.10113729051424,-15541.245841945
9.1953125,15065600.028208,0.3796875,36,1,16384,1.9616935999929,-0.055019235373222,4.294102573521e-11,-16904.86937706,-0.11003847074644,-16908.79276426
9.575,15687680.027967,0.3796875,36,1,16384,2.1270316987001,-0.059658173661544,-6.8920563700559e-12,-18329.743970284,-0.11931634732309,-18333.998033681
9.9546875,16309760.027816,0.3796875,36,1,16384,2.2990609009562,-0.064485393263192,1.266407395617e-10,-19812.263529434,-0.12897078652638,-19816.861651236
10.334375,16931840.027428,0.3796875,36,1,16384,2.4777818303373,-0.069501222376976,-8.0103035315915e-11,-21352.428051841,-0.13900244475395,-21357.383615502
10.7140625,17553920.027277,0.3796875,36,1,16384,2.6631959864143,-0.074706260529584,1.642264102486e-11,-22950.237534174,-0.14941252105917,-22955.563926147
11.09375,18176000.026911,0.3796875,36,1,16384,2.8553019232364,-0.080100849811118,1.4010453908142e-10,-24605.691979622,-0.16020169962224,-24611.402583468
11.4734375,18798080.026522,0.3796875,36,1,16384,3.0541014157281,-0.085685577713454,-2.7192656459896e-10,-26318.791383331,-0.17137115542691,-26324.899586163
11.853125,19420160.026554,0.3796875,36,1,16384,3.2595933878918,-0.091461495481039,1.8927792666545e-10,-28089.535749808,-0.18292299096208,-28096.054936584
12.2328125,20042240.026657,0.3796875,36,1,16384,3.4717763550238,-0.097429723816855,6.2216343188481e-12,-29917.925082583,-0.19485944763371,-29924.868635293
12.6125,20664320.026549,0.3796875,36,1,16384,3.6906461944478,-0.10359197976392,-8.6873147564503e-11,-31803.959393171,-0.20718395952784,-31811.34068556
12.9921875,21286400.026317,0.3796875,36,1,16384,3.9161988501686,-0.10995121534203,4.0475428564335e-11,-33747.638693959,-0.21990243068407,-33755.471091659
13.371875,21908480.026067,0.3796875,36,1,16384,4.1484223469129,-0.11651211897463,3.1169511416351e-12,-35748.963021185,-0.23302423794925,-35757.259865879
13.7515625,22530560.025995,0.3796875,36,1,16384,4.3872929120882,-0.12328224330489,1.7820239728294e-10,-37807.932446822,-0.24656448660979,-37816.707032646
14.13125,23152640.026161,0.3796875,36,1,16384,4.6327652794474,-0.1302768566475,1.6317780460184e-11,-39924.54710692,-0.260553713295,-39933.812637479
